公交线路,站点
北京29路公交车路线 弘燕公交场站—北京站东,"弘燕公交场站,小武基桥北,弘燕桥西,双龙小区,北京工业大学南门,松榆东里南门,武圣路南口,武圣路,武圣东里,农光东里,劲松桥东,劲松中街,光明桥东,广渠门,东便门,北京站西街西口,北京站东"
北京30路公交车路线 四方桥西—甜水园西里,"四方桥西,北京工业大学南门,北京工业大学南站,松榆东里东门,北京工业大学,北京工业大学北站,平乐园北,珠江帝景,九龙山,北京东站北,八王坟南,八王坟北,光华路东口,红庙路口北,金台路口南,金台路口北,甜水园西里"
北京31路公交车路线 北京华侨城—甜水园街北口,"北京华侨城,北京华侨城南站,金蝉南路西口,厚俸桥南,紫南家园,紫南家园西站,工大桥,窑洼湖桥,大郊亭桥南,东石门,唐家村,水南庄南站,水南庄,百子湾,百子湾桥东,百子湾桥西,北京东站,北京东站北,八王坟南,八王坟北,光华路东口,红庙路口北,金台路口北,甜水园北里,六里屯,朝阳体育馆,团结湖路北口,团结湖,甜水园街北口"
北京32路公交车路线 公主坟西—月坛南街北站,"公主坟西,翠微路口,万寿路口北,翠微南里,翠微东里,普惠南里,柳林馆,玉渊潭南门,茂林居,木樨地北,玉渊潭东门,月坛南街北站"
北京33路公交车路线 公主坟西—远大路东口,"公主坟西,翠微路口,万寿路口北,翠微中里,翠微西里,八里庄桥,慈寿寺桥,五路,善家坟,车道沟桥,彰化村,正福寺,黄庄东站,黄庄,东冉村,远大路,远大路东口"
北京34路公交车路线 孛罗营—虎坊桥路口南,"孛罗营,孛罗营村北,王四营桥南,王四营桥西,陶庄,垡头桥北,朝阳大柳树,紫南家园,紫南家园西站,祁家坟,潘道庙,北京工业大学,松榆东里东门,松榆东里南门,武圣路南口,武圣路,潘家园桥东,潘家园桥西,华威西里,潘家园路西口,劲松南路西口,光明楼,北京体育馆,北京体育馆西,法华寺,天坛北门,金鱼池,天桥路口东,友谊医院东,虎坊桥路口南"
北京35路公交车路线 高碑店东—天桥,"高碑店东,文化新大街北站,高碑店南站,朝阳半壁店,方家村,四根旗杆,小海子,唐家村,地铁百子湾站,大郊亭桥东,大郊亭桥西,珠江帝景,平乐园北,平乐园,南磨房,劲松桥东,劲松中街,光明桥东,光明楼,北京体育馆,北京体育馆西,法华寺,红桥路口西,天坛北门,金鱼池,天桥路口东,天桥"
北京36路公交车路线 左安路—天坛南门,"左安路,华威西里,潘家园路西口,劲松南路西口,光明桥,光明楼,北京体育馆,北京体育馆西,法华寺,红桥路口西,天坛北门,金鱼池,天桥,天坛西门,先农坛,永定门内,永定门东,永定门东街,天坛南门"
北京38路公交车路线 六里桥东—西安门,"六里桥东,莲花池,湾子,广外甘石桥,达官营,广安门内,宣武医院,槐柏树街东口,长椿街路口北,新文化街西口,太平桥,辟才胡同,辟才胡同东口,缸瓦市,西四路口北,平安里路口南,厂桥路口西,厂桥路口南,后库,西安门"
北京39路公交车路线 双庙—北京站东,"双庙,顶秀欣园东苑,双庙北,地铁宋家庄站,宋家庄,顺四条,刘家窑桥东,刘家窑桥北,蒲黄榆,东侧路,天坛体育场,法华寺,红桥路口北,磁器口北,花市路口南,崇文门内,东单路口东,北京站口西,北京站东"
北京40路公交车路线 五路—木樨园桥北,"五路,慈寿寺桥,西钓鱼台,航天桥西,航天桥南,八一湖,公主坟北,公主坟东,皇亭子,北京西站,小马厂,天宁寺桥西,广安门北,广安门内,枣林前街,白纸坊,南樱桃园路口西,半步桥,自新路口东,陶然亭公园北门,太平街,陶然桥北,陶然桥东,沙子口,木樨园桥北"
北京41路公交车路线 北京华侨城—东单路口南,"北京华侨城,厚俸桥南,紫南家园,紫南家园北站,窑洼湖桥东,平乐园小区,平乐园,南磨房,劲松桥东,劲松中街,光明桥东,光明楼,北京体育馆,北京体育馆西,法华寺,磁器口北,崇文门西,台基厂路口东,正义路南口,王府井,东单路口南"
北京42路公交车路线 广外甘石桥—东四十条桥西,"广外甘石桥,达官营,广外关厢,广安门北,天宁寺桥东,西便门外,真武庙,礼士路南口,北京儿童医院西门,月坛公园,阜成门,阜成门内,白塔寺,西四路口西,北京三十九中学,北京四中,厂桥路口东,东官房,北海北门,地安门东,锣鼓巷,宽街路口东,张自忠路,东四十条,东四十条桥西"
北京43路公交车路线 团结湖—五间楼,"团结湖,白家庄北,中纺街,朝阳医院,东大桥路口北,芳草地,芳草地南,永安里路口西,日坛路,建国门南,东便门,崇文门东,花市路口南,磁器口南,法华寺,东侧路,蒲黄榆,刘家窑桥北,横七条,五间楼"
北京44内环公交车路线 北官厅—北官厅,"北官厅,东直门北,东四十条桥南,朝阳门南,雅宝路,建国门南,东便门,崇文门东,崇文门西,台基厂路口西,前门东,前门西,和平门东,宣武门东,长椿街路口西,复兴门南,北京儿童医院,阜成门北,西直门南,玉桃园,新街口豁口,德胜门西,鼓楼桥西,安定门西,雍和宫桥东,北官厅"
北京44外环公交车路线 广安胡同北口—广安胡同北口,"广安胡同北口,宣武门东,和平门东,前门西,前门东,台基厂路口西,崇文门西,崇文门东,东便门,建国门南,雅宝路,朝阳门南,东四十条桥南,东直门北,雍和宫桥东,安定门西,鼓楼桥西,德胜门西,新街口豁口,玉桃园,西直门南,阜成门北,北京儿童医院,复兴门南,长椿街路口西,广安胡同北口"
北京45路公交车路线 高楼村—动物园枢纽站,"高楼村,红莲南路西口,红莲南路,红莲南里,莲花晴园,小红庙北站,广安门车站西街,广安门货站,手帕口南街,达官营,湾子,马连道北路,小马厂,白云观,白云路,三里河东路南口,月坛南街北站,月坛北街北站,展览路口南,百万庄东口,二里沟东口,北京展览馆,动物园枢纽站"
北京46路公交车路线 高楼村—西单商场西,"高楼村,马连道南口,马连道胡同,马连道西里,湾子路口南,湾子,广外甘石桥,达官营,广外关厢,广安门北,天宁寺桥北,西便门外,真武庙,礼士路南口,北京儿童医院西门,辟才胡同西口,辟才胡同东口,西单商场西"
北京47路公交车路线 小马厂—花园路北口,"小马厂,小马厂(东行),白云桥西,天宁寺桥西,长椿街路口北,新文化街西口,太平桥,辟才胡同,丰盛胡同,白塔寺,报子胡同,祖家街,宝产胡同,地铁新街口站,新街口北,积水潭桥南,小西天,北京师范大学,铁狮子坟,北太平桥北,牡丹园,牡丹园北,塔院,花园路北口"
